"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\university\毕业设计\reactAi\reactAi\src\App.scss", "SCSS", 0, 0, 7, 0, 0, 0, 7
"d:\university\毕业设计\reactAi\reactAi\src\App.tsx", "TypeScript JSX", 0, 36, 0, 0, 1, 6, 43
"d:\university\毕业设计\reactAi\reactAi\src\api.ts", "TypeScript", 339, 0, 0, 0, 6, 46, 391
"d:\university\毕业设计\reactAi\reactAi\src\bus.ts", "TypeScript", 2, 0, 0, 0, 1, 1, 4
"d:\university\毕业设计\reactAi\reactAi\src\component\feedBackBox\index.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\university\毕业设计\reactAi\reactAi\src\component\feedBackBox\index.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 11, 107
"d:\university\毕业设计\reactAi\reactAi\src\component\header\index.scss", "SCSS", 0, 0, 70, 0, 0, 2, 72
"d:\university\毕业设计\reactAi\reactAi\src\component\header\index.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 14, 121
"d:\university\毕业设计\reactAi\reactAi\src\component\requireAuth\index.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 5, 14
"d:\university\毕业设计\reactAi\reactAi\src\component\shadowBox\index.scss", "SCSS", 0, 0, 12, 0, 0, 1, 13
"d:\university\毕业设计\reactAi\reactAi\src\component\shadowBox\index.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 2, 11
"d:\university\毕业设计\reactAi\reactAi\src\main.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 2, 7
"d:\university\毕业设计\reactAi\reactAi\src\pages\Admin\admin.tsx", "TypeScript JSX", 0, 175, 0, 0, 2, 24, 201
"d:\university\毕业设计\reactAi\reactAi\src\pages\Admin\components\addKnowLedgeBases\hooks.tsx", "TypeScript JSX", 0, 135, 0, 0, 3, 22, 160
